Conventions,G,BADC-CSV,1
title,G,uk-mean-wind-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point series
collection_name,G,midas-open
collection_version_number,G,dataset-version-202107
history,G,Created 2021-07-16
last_revised_date,G,2021-07-16
observation_station,G,prestwick-gannet
historic_county_name,G,ayrshire
midas_station_id,G,01007
location,G,55.515,-4.585
height,G,27,m
date_valid,G,2017-01-01 00:00:00,2017-12-31 23:59:59
midas_qc_version_number,G,1
comments,G,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
comments,G,This file contains station observations
comments,G,missing values are identified with the missing data flag
missing_value,G,NA
coordinate_variable,ob_end_time,t
long_name,ob_end_time,Date at end of observation period,s
type,ob_end_time,char
comments,ob_end_time,Date and time (YYYY-MM-DD HH:MM:SS) at the end of the observation period
long_name,id,station identifier,1
type,id,char
comments,id,a station may have more than one id assigned to it designated by the id_type
long_name,id_type,identifier type,1
type,id_type,char
comments,id_type,a station may have more than one id assigned to it defined by id_type
long_name,ob_hour_count,Observation hour count,hours
type,ob_hour_count,int
long_name,version_num,midas qc version number,1
type,version_num,int
comments,version_num,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
long_name,met_domain_name,message type,1
type,met_domain_name,char
comments,met_domain_name,message type (see MIDAS documentation)
long_name,src_id,unique source identifier or station site number,1
type,src_id,int
comments,src_id,unique source identifier or station site number
long_name,rec_st_ind,state indicator for the record,1
type,rec_st_ind,int
comments,rec_st_ind,state indicator for the current stage in the life of the record (see MIDAS documentation)
long_name,mean_wind_dir,Mean wind direciton,deg true
type,mean_wind_dir,int
long_name,mean_wind_speed,Mean wind speed,knots
type,mean_wind_speed,float
long_name,max_gust_dir,Direction of maximum wind gust,deg true
type,max_gust_dir,int
long_name,max_gust_speed,Speed of maximum wind gust,knots
type,max_gust_speed,float
long_name,max_gust_ctime,Clock time of maximum gust HHMM,s
type,max_gust_ctime,char
long_name,mean_wind_dir_q,QC code: Mean wind direction,1
type,mean_wind_dir_q,int
long_name,mean_wind_speed_q,QC code: Mean wind speed,1
type,mean_wind_speed_q,int
long_name,max_gust_dir_q,QC code: Direction of maximum wind gust,1
type,max_gust_dir_q,int
long_name,max_gust_speed_q,QC code: Speed of maximum wind gust,1
type,max_gust_speed_q,int
long_name,max_gust_ctime_q,QC code: Clock time of maximum gust HHMM,1
type,max_gust_ctime_q,int
long_name,mean_wind_dir_j,Descriptor: Mean wind direction,1
type,mean_wind_dir_j,char
long_name,mean_wind_speed_j,Descriptor: Mean wind speed,1
type,mean_wind_speed_j,char
long_name,max_gust_dir_j,Descriptor: Direction of maximum wind gust,1
type,max_gust_dir_j,char
long_name,max_gust_speed_j,Descriptor: Speed of maximum wind gust,1
type,max_gust_speed_j,char
long_name,meto_stmp_time,Met Office receipt stamp time,s
type,meto_stmp_time,char
comments,meto_stmp_time,Met Office receipt stampe time in format (YYYY-MM-DD HH:MM:SS)
long_name,midas_stmp_etime,Elapsed time to storage in MIDAS,minutes
type,midas_stmp_etime,int
data
ob_end_time,id_type,id,ob_hour_count,met_domain_name,version_num,src_id,rec_st_ind,mean_wind_dir,mean_wind_speed,max_gust_dir,max_gust_speed,max_gust_ctime,mean_wind_dir_q,mean_wind_speed_q,max_gust_dir_q,max_gust_speed_q,max_gust_ctime_q,mean_wind_dir_j,mean_wind_speed_j,max_gust_dir_j,max_gust_speed_j,meto_stmp_time,midas_stmp_etime
2017-01-01 00:00:00,WIND,654802,1,HCM,1,1007,1011,320,5,320,11,2254,6,6,6,6,6,NA,NA,NA,NA,2016-12-31 23:51:00,0
2017-01-01 01:00:00,WIND,654802,1,HCM,1,1007,1011,350,5,310,11,48,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 00:51:00,0
2017-01-01 02:00:00,WIND,654802,1,HCM,1,1007,1011,340,5,330,12,55,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 01:51:00,0
2017-01-01 03:00:00,WIND,654802,1,HCM,1,1007,1011,10,5,10,10,234,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 02:51:00,0
2017-01-01 04:00:00,WIND,654802,1,HCM,1,1007,1011,40,3,30,8,305,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 03:51:00,0
2017-01-01 05:00:00,WIND,654802,1,HCM,1,1007,1011,50,2,40,4,409,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 04:51:00,0
2017-01-01 06:00:00,WIND,654802,1,HCM,1,1007,1011,40,3,40,4,534,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 05:53:00,0
2017-01-01 07:00:00,WIND,654802,1,HCM,1,1007,1011,20,2,80,4,609,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 06:51:00,0
2017-01-01 08:00:00,WIND,654802,1,HCM,1,1007,1011,360,3,350,7,745,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 07:51:00,0
2017-01-01 09:00:00,WIND,654802,1,HCM,1,1007,1011,20,3,340,6,750,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 08:54:00,0
2017-01-01 10:00:00,WIND,654802,1,HCM,1,1007,1011,10,5,10,7,949,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 09:52:00,0
2017-01-01 11:00:00,WIND,654802,1,HCM,1,1007,1011,340,5,10,9,955,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 10:51:00,0
2017-01-01 12:00:00,WIND,654802,1,HCM,1,1007,1011,330,5,320,10,1129,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 11:51:00,0
2017-01-01 13:00:00,WIND,654802,1,HCM,1,1007,1011,340,5,350,9,1229,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 12:51:00,0
2017-01-01 14:00:00,WIND,654802,1,HCM,1,1007,1011,350,8,360,14,1321,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 13:51:00,0
2017-01-01 15:00:00,WIND,654802,1,HCM,1,1007,1011,360,7,350,13,1411,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 14:51:00,0
2017-01-01 16:00:00,WIND,654802,1,HCM,1,1007,1011,10,8,20,17,1549,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 15:51:00,0
2017-01-01 17:00:00,WIND,654802,1,HCM,1,1007,1011,20,9,30,20,1640,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 16:51:00,0
2017-01-01 18:00:00,WIND,654802,1,HCM,1,1007,1011,10,8,20,17,1701,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 17:52:00,0
2017-01-01 19:00:00,WIND,654802,1,HCM,1,1007,1011,360,6,50,14,1849,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 18:51:00,0
2017-01-01 20:00:00,WIND,654802,1,HCM,1,1007,1011,330,8,50,16,1850,6,6,6,6,6,NA,NA,NA,NA,2017-01-01 19:51:00,0
